job_name,task_name,start_time,end_time,plan_cpu,duration,energy,power_proxy
j_23103,task_LTI2NTc5ODQ0OTQxMTIyNDk5MTY=,82371.0,82500,100.0,129,7.048421363878552,0.054638925301384124
j_1661,R4_3,86207.0,86212,50.0,5,0.14094053964029124,0.02818810792805825
j_1661,R6_5,86207.0,86352,50.0,145,10.343103756009928,0.07133175004144778
j_1661,M1,86207.0,86210,50.0,3,0.08436399140681482,0.028121330468938274
j_1661,M2,86207.0,86485,50.0,278,10.50427584465805,0.03778516490884191
j_1661,J7_1_2_6,86207.0,86931,50.0,724,24.71866139704043,0.034141797509724355
j_12560,M1,86394.0,86398,50.0,4,0.11734674996208669,0.029336687490521672
j_40144,R5_4,86405.0,86418,100.0,13,0.5946064519481259,0.04573895784216353
j_40144,J4_1_2_3,86405.0,86411,100.0,6,0.5578167010901344,0.09296945018168906
j_40144,R1_3,86405.0,86412,100.0,7,0.4994266838496833,0.07134666912138334
j_18443,R2_1,86442.0,86443,55.11,1,0.028105950385968366,0.028105950385968366
j_18443,J5_3_4,86442.0,86446,50.0,4,0.11065025810828003,0.027662564527070006
j_18443,M1,86442.0,86443,50.0,1,0.026676445234461724,0.026676445234461724
j_18443,M3_2,86442.0,86446,50.0,4,0.1133291281214023,0.028332282030350577
j_31060,task_ODk2MzU0ODg1MTY5MTExNTUwMg==,86463.0,86465,10.0,2,0.026832277012011345,0.013416138506005672
j_31060,task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,86463.0,86838,5.0,375,8.065481890825032,0.02150795170886675
j_18443,M1_retry,86546.0,86547,50.0,1,0.03546090400325331,0.03546090400325331
j_23459,task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,86562.0,86949,30.0,387,12.773407429330371,0.033006220747623695
j_23459,task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,86562.0,86866,5.0,304,6.4864738872508045,0.02133708515543028
j_23459,task_ODk2MzU0ODg1MTY5MTExNTUwMg==,86562.0,86936,10.0,374,8.344427946253125,0.022311304669126
j_23459,task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=_retry,86689.0,87083,5.0,394,8.384648141666863,0.021280832846870212
j_40046,R2_1,86757.0,86758,100.0,1,0.07570216237027502,0.07570216237027502
j_40046,M1,86757.0,86759,100.0,2,0.08185661772996501,0.040928308864982506
j_33924,task_ODg3NTU4NTE3NDcxODA4NjA5Ng==,86850.0,86939,300.0,89,9.912522085498148,0.11137665264604661
j_38134,M6,86865.0,86879,100.0,14,0.6225312826317615,0.044466520187982965
j_17723,M1,86865.0,86867,100.0,2,0.09045503435475628,0.04522751717737814
j_17723,R2_1,86865.0,86867,100.0,2,0.08358139194613437,0.041790695973067185
j_9281,M1,86878.0,86885,100.0,7,0.4592945441400981,0.0656135063057283
j_9281,R2_1,86878.0,86888,100.0,10,0.4174025232913446,0.04174025232913446
j_38134,R2_6,86880.0,87648,100.0,768,24.655171368018717,0.03210308771877437
j_40312,R5_4,86882.0,87196,50.0,314,13.57620477741036,0.043236320947166756
j_40312,J3_1_2,86882.0,87137,50.0,255,1.2056196667737458,0.004727920261857826
j_40046,R2_1_retry,86891.0,86893,100.0,2,0.10059881324269658,0.05029940662134829
j_8975,M2,86925.0,86928,50.0,3,0.0974168653816073,0.03247228846053577
j_8975,R5_4,86925.0,86935,50.0,10,0.4293848918759032,0.042938489187590315
j_11259,M3_2,87023.0,87033,50.0,10,0.2996328215972188,0.029963282159721882
j_15188,J3_1_2,87074.0,87087,50.0,13,0.3662825191901508,0.02817557839924237
j_15188,M8_7,87074.0,87085,41.09,11,0.3381975292656754,0.03074522993324322
j_15188,J5_1_4,87074.0,87095,50.0,21,0.6306058679647555,0.030028850855464546
j_15188,M2,87074.0,87078,50.0,4,0.11862737509044895,0.029656843772612237
j_15188,J10_8_9,87074.0,87088,53.96,14,0.3638601966176088,0.025990014044114915
j_15188,M6,87074.0,87080,50.0,6,0.1295974526086595,0.021599575434776586
j_15188,M9,87074.0,87083,50.0,9,0.21314961538197807,0.023683290597997564
j_2,M1,87076.0,87103,50.0,27,0.46954568746928227,0.017390581017380825
j_40666,M1,87083.0,87463,100.0,380,21.175470695936596,0.055724922884043675
j_40666,R2_1,87083.0,87848,100.0,765,30.869637127377594,0.040352466833173326
j_31196,M1,87104.0,87243,50.0,139,4.618086976155309,0.03322364731046985
j_18959,M1,87116.0,87120,50.0,4,0.11402890777665523,0.028507226944163806
j_8781,R3_8,87134.0,87136,50.0,2,0.049110449715161764,0.024555224857580882
j_8781,J1_6_8,87134.0,87136,50.0,2,0.04635211750202975,0.023176058751014875
j_8781,R14_13,87134.0,87138,46.5,4,0.1117294919753088,0.0279323729938272
j_8781,R16_15,87134.0,87138,43.15,4,0.11746735744351462,0.029366839360878656
j_8781,M11,87134.0,87136,50.0,2,0.07248612179745541,0.036243060898727704
j_8781,R10_9,87134.0,87136,50.0,2,0.052636333228908455,0.026318166614454228
j_37805,M1,87134.0,87138,48.77,4,0.11021369683177008,0.02755342420794252
j_37805,R2_1,87134.0,87138,50.0,4,0.15248125073423432,0.03812031268355858
j_8781,J13_7_12,87134.0,87138,50.0,4,0.10359706754445336,0.02589926688611334
