policy,congestion,noise_pct,carbon_kg,avg_jct_h,tail_jct_h,preemptions,jobs_completed
carbon,high,0.0,93.12357596556544,4.972183541661306,12.614583333333332,37.3,94.0
carbon,high,5.0,92.90830737872939,4.937693678777107,12.501666666666663,118.0,93.4
carbon,high,15.0,92.02595358539381,4.949876632554212,12.034583333333332,275.9,93.5
carbon,light,0.0,53.19590325070366,1.8703416720121122,3.063333333333333,1.0,51.6
carbon,light,5.0,53.167751397948294,1.870482914949965,3.064166666666666,1.2,51.6
carbon,light,15.0,53.101982470414825,1.8706241578878184,3.064166666666666,1.5,51.6
carbon,moderate,0.0,94.65404423435041,2.504755116721692,5.526249999999999,38.2,91.3
carbon,moderate,5.0,94.48289980789116,2.512818943538383,5.483749999999998,70.9,91.3
carbon,moderate,15.0,93.73767332841781,2.5516752595241674,5.5004166666666645,134.0,91.0
fcfs,high,0.0,97.77842930954182,5.409808370587649,9.043333333333333,0.0,94.9
fcfs,high,5.0,97.6670567549882,5.409808370587649,9.043333333333333,0.0,94.9
fcfs,high,15.0,97.44474118840614,5.409808370587649,9.043333333333333,0.0,94.9
fcfs,light,0.0,53.188117643858526,1.868708705414828,3.0429166666666663,0.0,51.6
fcfs,light,5.0,53.164109681521744,1.868708705414828,3.0429166666666663,0.0,51.6
fcfs,light,15.0,53.11620580657702,1.868708705414828,3.0429166666666663,0.0,51.6
fcfs,moderate,0.0,93.9428129532088,2.5002295405436263,4.20125,0.0,92.0
fcfs,moderate,5.0,93.87345737752057,2.5002295405436263,4.20125,0.0,92.0
fcfs,moderate,15.0,93.73476476502836,2.5002295405436263,4.20125,0.0,92.0
q_drl,high,0.0,97.71552041890206,4.3397741761746795,8.278749999999999,30.5,109.2
q_drl,high,5.0,97.53920958444952,4.318696641435656,8.370833333333332,65.1,109.3
q_drl,high,15.0,97.34792745285132,4.330834353821384,8.437499999999998,177.9,109.1
q_drl,light,0.0,53.19106185794453,1.868708705414828,3.0429166666666663,0.2,51.6
q_drl,light,5.0,53.16579763267466,1.868708705414828,3.0512499999999996,0.8,51.6
q_drl,light,15.0,53.11235780742254,1.868708705414828,3.0512499999999996,1.0,51.6
q_drl,moderate,0.0,94.25626579001592,2.379921944550037,4.174999999999999,32.4,92.8
q_drl,moderate,5.0,94.21967961823349,2.3818925447426578,4.177083333333333,35.8,92.8
q_drl,moderate,15.0,94.07494646097676,2.3821174822682085,4.222083333333333,55.0,92.5
srtf,high,0.0,97.84962379440556,2.083076426526796,5.291666666666664,43.0,113.8
srtf,high,5.0,97.761667308271,2.083076426526796,5.291666666666664,43.0,113.8
srtf,high,15.0,97.58618387852698,2.083076426526796,5.291666666666664,43.0,113.8
srtf,light,0.0,53.20530730087599,1.8670880808961214,3.0649999999999995,1.1,51.6
srtf,light,5.0,53.18031718067274,1.8670880808961214,3.0649999999999995,1.1,51.6
srtf,light,15.0,53.13044898999509,1.8670880808961214,3.0649999999999995,1.1,51.6
srtf,moderate,0.0,93.91459773359644,2.0646372973200444,4.438749999999999,31.2,94.3
srtf,moderate,5.0,93.86067098493064,2.0646372973200444,4.438749999999999,31.2,94.3
srtf,moderate,15.0,93.75283139176221,2.0646372973200444,4.438749999999999,31.2,94.3
