comparison,metric,mean_diff,ci95_low,ci95_high,p_boot_two_sided,significant_95
q_overall - carbon,avg_jct_h,-1.9490464826892844,-2.3544106746501923,-1.5237799793866247,0.0,True
q_overall - q_overall_guarded,avg_jct_h,-0.18184707404630296,-0.4511974495337564,0.07656967871065118,0.163,False
q_overall - q_overall_guarded_budget,avg_jct_h,-0.12312096480509216,-0.38527252472688417,0.13400432069621054,0.314,False
q_overall - srtf,avg_jct_h,0.8280560940873225,0.660272825510539,1.0041134240761316,0.0,True
q_overall - carbon,carbon_per_completed_job,-0.15473696159994516,-0.17755051267987237,-0.1306792414003387,0.0,True
q_overall - q_overall_guarded,carbon_per_completed_job,0.00292750964559918,-0.004989262684595146,0.011323268537586511,0.487,False
q_overall - q_overall_guarded_budget,carbon_per_completed_job,0.0025553938419559663,-0.0054263868003283176,0.01079097856728459,0.5365,False
q_overall - srtf,carbon_per_completed_job,-0.0017337837479858842,-0.010501564158890909,0.007124152032540512,0.7175,False
q_overall - carbon,overall_score,-0.5627998618705552,-0.5877607377417634,-0.5390037076878706,0.0,True
q_overall - q_overall_guarded,overall_score,-0.018050626532868957,-0.04120525502445203,0.00435894811203909,0.1075,False
q_overall - q_overall_guarded_budget,overall_score,-0.012045931315020908,-0.034794892637984146,0.009839307702876268,0.274,False
q_overall - srtf,overall_score,0.09633448814303072,0.07926337702819211,0.11179558077208158,0.0,True
