jobs_total,jobs_completed,carbon_kg,avg_jct_h,tail_jct_h,preemptions,avg_wait_h,policy,noise_pct,congestion,capacity,seed,setting,dirty_quantile
140,96,50.143139785374515,3.5711805555555554,8.895833333333332,0,3.132142857142857,fcfs,15.0,moderate,6,0,realworld_stress,
140,101,50.69489165712619,2.8333333333333335,7.333333333333333,113,2.9690476190476187,carbon,15.0,moderate,6,0,realworld_stress,
140,122,52.332819358559114,1.146174863387978,6.079166666666666,33,0.9601190476190475,srtf,15.0,moderate,6,0,realworld_stress,
140,122,52.38533264515622,1.2745901639344261,6.0,59,1.0672619047619047,q_drl,15.0,moderate,6,0,realworld_stress,
140,122,51.46176450492393,1.3989071038251364,6.0,109,1.175595238095238,q_drl_guarded,15.0,moderate,6,0,realworld_stress,0.9
140,115,51.7953767150622,1.360869565217391,6.258333333333331,482,1.6857142857142857,las_proxy,15.0,moderate,6,0,parity_30seed,
140,105,48.76834717414043,2.1738095238095236,6.399999999999999,150,1.8857142857142857,ecovisor_proxy,15.0,moderate,6,0,parity_30seed,
140,120,49.74915243825268,1.6,6.254166666666666,388,1.4773809523809522,gaia_proxy,15.0,moderate,6,0,parity_30seed,
140,114,59.32552131793756,3.1403508771929824,7.75,0,2.1107142857142858,fcfs,15.0,moderate,8,0,realworld_stress,
140,119,59.4356166224609,2.5385154061624653,7.691666666666665,146,1.9589285714285714,carbon,15.0,moderate,8,0,realworld_stress,
140,125,61.50574996551139,1.1866666666666665,6.0,34,0.6148809523809523,srtf,15.0,moderate,8,0,realworld_stress,
140,124,59.69545355930606,1.5799731182795698,7.449999999999998,134,0.8767857142857143,q_drl,15.0,moderate,8,0,realworld_stress,
140,123,59.204298930953485,1.5630081300813004,6.991666666666658,229,0.9398809523809523,q_drl_guarded,15.0,moderate,8,0,realworld_stress,0.9
140,118,60.56270113225131,1.0861581920903955,5.574999999999996,634,1.0410714285714286,las_proxy,15.0,moderate,8,0,parity_30seed,
140,115,58.11642626135679,2.0289855072463765,7.633333333333333,143,1.2666666666666666,ecovisor_proxy,15.0,moderate,8,0,parity_30seed,
140,123,58.881734908707266,1.5257452574525745,6.0,495,1.0529761904761905,gaia_proxy,15.0,moderate,8,0,parity_30seed,
220,117,53.83633459040472,3.6866096866096862,10.25,0,4.406818181818182,fcfs,15.0,high,6,0,realworld_stress,
220,122,52.13346547266171,2.9234972677595623,9.495833333333332,147,4.065530303030303,carbon,15.0,high,6,0,realworld_stress,
220,189,55.157098666106904,1.1274250440917106,5.633333333333332,54,1.3503787878787878,srtf,15.0,high,6,0,realworld_stress,
220,189,55.19142417207461,1.3187830687830688,6.166666666666666,63,1.5106060606060605,q_drl,15.0,high,6,0,realworld_stress,
220,187,53.667540670920815,1.6737967914438503,6.724999999999999,160,1.8814393939393939,q_drl_guarded,15.0,high,6,0,realworld_stress,0.9
220,168,55.455085224654724,1.4568452380952377,4.804166666666667,550,2.5321969696969693,las_proxy,15.0,high,6,0,parity_30seed,
220,157,52.22587899083322,2.521231422505308,7.11666666666666,171,2.5295454545454548,ecovisor_proxy,15.0,high,6,0,parity_30seed,
220,180,52.73262031136561,1.523148148148148,6.087499999999999,456,1.8810606060606059,gaia_proxy,15.0,high,6,0,parity_30seed,
220,150,65.47961989852932,3.5927777777777776,9.0,0,3.2753787878787874,fcfs,15.0,high,8,0,realworld_stress,
220,152,64.62507190154837,2.832236842105263,8.074999999999998,167,2.99280303030303,carbon,15.0,high,8,0,realworld_stress,
220,194,67.41399151122984,1.0425257731958764,5.337499999999999,46,0.9087121212121212,srtf,15.0,high,8,0,realworld_stress,
