comparison,metric,mean_diff,ci95_low,ci95_high,p_boot_two_sided,significant_95
q_drl - carbon,avg_jct_h,-2.533754495931265,-2.922309171734928,-2.1589364278138037,0.0,True
q_drl - fcfs,avg_jct_h,-2.880307663860454,-3.2707967669672384,-2.500670169612483,0.0,True
q_drl - q_drl_guarded,avg_jct_h,-0.23893659659202227,-0.36431417960216567,-0.11996591941252072,0.0,True
q_drl - srtf,avg_jct_h,0.1331000759749308,0.05189731288083437,0.21605062336575806,0.0008,True
q_drl - carbon,carbon_per_completed_job,-0.11870969515893193,-0.14141382252014767,-0.0953844135501265,0.0,True
q_drl - fcfs,carbon_per_completed_job,-0.14894155201601555,-0.17483183676344044,-0.1245277134558308,0.0,True
q_drl - q_drl_guarded,carbon_per_completed_job,0.00838423482733297,0.0005025362136773696,0.016471509292401477,0.0336,True
q_drl - srtf,carbon_per_completed_job,-0.0012735690816991774,-0.010652648305288774,0.007999682577836986,0.7992,False
q_drl - carbon,tradeoff_score,-1.084727615467866,-1.2410604839596973,-0.9334608508180247,0.0,True
q_drl - fcfs,tradeoff_score,-1.2414879967537913,-1.3962139499130328,-1.0878045836177281,0.0,True
q_drl - q_drl_guarded,tradeoff_score,-0.09054409774040939,-0.14196972991256554,-0.04194457168965916,0.0004,True
q_drl - srtf,tradeoff_score,0.052475888940952675,0.01839189187313805,0.08788485877532526,0.002,True
