jobs_total,jobs_completed,carbon_kg,avg_jct_h,tail_jct_h,preemptions,avg_wait_h,starvation_penalty,policy,seed,noise_pct,congestion,capacity,dataset_track,carbon_per_completed_job,preempt_per_completed_job,n_carbon,n_avg_jct,n_tail_jct,n_preempt,n_starvation,overall_score
160,91,52.31598077730414,3.9597069597069594,9.875,0,4.244791666666666,0.3456851378699202,fcfs,0,10.0,moderate,6,v1_clean,0.5749008876626829,0.0,1.0,1.0,1.0,0.0,0.0,0.8
160,100,50.91246918772791,3.6125,9.416666666666666,117,3.945833333333333,0.3793533764213189,carbon,0,10.0,moderate,6,v1_clean,0.509124691877279,1.17,0.650941573027074,0.8748497293573703,0.8939247830279651,0.48566037735849055,0.39735759540720167,0.7145824894645103
160,138,53.77449917579901,1.1853864734299515,5.554166666666672,41,1.2171875,0.4304154637540809,srtf,0,10.0,moderate,6,v1_clean,0.3896702838826015,0.2971014492753623,0.01702580377766108,0.0,0.0,0.12332512988788624,1.0,0.11829154431097001
160,132,51.012978676510535,2.0467171717171713,6.69583333333333,318,2.19375,0.3832254604324267,q_v1,0,10.0,moderate,6,v1_clean,0.38646195967053437,2.409090909090909,0.0,0.3104654644435403,0.264223722275794,1.0,0.4430565110044527,0.27245467455810185
160,136,52.86693267456504,2.1636029411764706,6.770833333333333,126,2.1552083333333334,0.39255804669843175,q_v2,0,10.0,moderate,6,v1_clean,0.38872744613650767,0.9264705882352942,0.012022390968323129,0.35259677913391835,0.2815814850530367,0.38457269700332963,0.5532010922818114,0.23889994285747007
160,133,54.68115016938751,1.9981203007518793,7.866666666666665,210,2.0708333333333333,0.34806303483475853,q_double_v2,0,10.0,moderate,6,v1_clean,0.41113646743900384,1.5789473684210527,0.130941669173036,0.29294878920516276,0.5351976856316288,0.6554121151936445,0.028064296224816362,0.3065664046013485
160,110,62.66772323897743,3.584090909090909,9.054166666666665,0,3.130208333333333,0.3233231561589347,fcfs,0,10.0,moderate,8,v1_clean,0.5697065748997948,0.0,1.0,1.0,1.0,0.0,0.0,0.8
160,120,61.842743182987185,2.8881944444444447,7.674999999999999,151,2.8729166666666663,0.34284907694675293,carbon,0,10.0,moderate,8,v1_clean,0.5153561931915599,1.2583333333333333,0.5208846521222856,0.7080648287769267,0.4014466546112113,0.5543140407288317,0.371088600363594,0.5168245217602306
160,141,64.50348801836549,1.2003546099290778,6.75,34,0.8333333333333333,0.3759411044566907,srtf,0,10.0,moderate,8,v1_clean,0.45747154622954245,0.24113475177304963,0.010613667920832754,0.0,0.0,0.10622334724407653,1.0,0.11433711849669913
160,137,63.10768274163904,1.8984184914841848,7.666666666666666,311,1.5776041666666667,0.3247849532996125,q_v1,0,10.0,moderate,8,v1_clean,0.4606400200119638,2.27007299270073,0.03854473980650113,0.29284442318580295,0.39783001808318263,1.0,0.027781340549535086,0.2742951821451852
160,139,63.4211883387142,2.199640287769784,7.033333333333331,157,1.7869791666666663,0.32585292747218586,q_v2,0,10.0,moderate,8,v1_clean,0.45626754200513814,1.129496402877698,0.0,0.4192098254291277,0.12296564195298297,0.49755950866316595,0.048078106332379515,0.16914713707362586
